group,models,policy,accuracy_mean,accuracy_std,avg_cost_mean
qwen_30b_llama_70b,"qwen_30b,llama_70b",knn_router,0.8998307952622674,0.019129917511367396,2.549018003384095e-05
qwen_30b_llama_70b,"qwen_30b,llama_70b",decision_tree_router,0.8964467005076142,0.024311451850707145,3.802314267343486e-05
qwen_30b_llama_70b,"qwen_30b,llama_70b",random_forest_router,0.8944162436548223,0.023486085036912928,2.7491263350253807e-05
qwen_30b_llama_70b,"qwen_30b,llama_70b",extra_trees_router,0.8954314720812183,0.022646335453355336,2.8666017732656512e-05
qwen_30b_deepseek_v3,"qwen_30b,deepseek_v3",always_qwen_30b,0.8998307952622674,0.019129917511367396,2.531397394247039e-05
qwen_30b_deepseek_v3,"qwen_30b,deepseek_v3",always_deepseek_v3,0.9071065989847715,0.020046938994475166,7.057821015228426e-05
qwen_30b_deepseek_v3,"qwen_30b,deepseek_v3",random,0.900507614213198,0.02463818453803753,4.8253936988155664e-05
qwen_30b_deepseek_v3,"qwen_30b,deepseek_v3",oracle,0.9445008460236887,0.015881516637947082,2.7183646565143826e-05
qwen_30b_deepseek_v3,"qwen_30b,deepseek_v3",logistic_router,0.8971235194585448,0.020905399476826018,3.7691104636209814e-05
qwen_30b_deepseek_v3,"qwen_30b,deepseek_v3",linear_svm_router,0.8957698815566836,0.022690758008329315,3.4902414010152284e-05
qwen_30b_deepseek_v3,"qwen_30b,deepseek_v3",knn_router,0.8996615905245346,0.01907177055267248,2.5440587817258885e-05
qwen_30b_deepseek_v3,"qwen_30b,deepseek_v3",decision_tree_router,0.905922165820643,0.02098176390425518,4.399199932318105e-05
qwen_30b_deepseek_v3,"qwen_30b,deepseek_v3",random_forest_router,0.8998307952622674,0.020905399476826025,2.860293021996616e-05
qwen_30b_deepseek_v3,"qwen_30b,deepseek_v3",extra_trees_router,0.8993231810490694,0.022507936787600925,2.9601838714043993e-05
qwen_30b_granite_8b,"qwen_30b,granite_8b",always_qwen_30b,0.8998307952622674,0.019129917511367396,2.531397394247039e-05
qwen_30b_granite_8b,"qwen_30b,granite_8b",always_granite_8b,0.8463620981387479,0.02522033466290163,1.5969788494077833e-05
qwen_30b_granite_8b,"qwen_30b,granite_8b",random,0.8712351945854484,0.020629439097550054,2.065067708967851e-05
qwen_30b_granite_8b,"qwen_30b,granite_8b",oracle,0.9324873096446701,0.015090689314210082,2.4948643519458545e-05
qwen_30b_granite_8b,"qwen_30b,granite_8b",logistic_router,0.8908629441624366,0.019214110719286196,2.3047486565143822e-05
qwen_30b_granite_8b,"qwen_30b,granite_8b",linear_svm_router,0.8945854483925549,0.01700283357429374,2.396260115059222e-05
qwen_30b_granite_8b,"qwen_30b,granite_8b",knn_router,0.8998307952622674,0.019129917511367396,2.531397394247039e-05
qwen_30b_granite_8b,"qwen_30b,granite_8b",decision_tree_router,0.8901861252115059,0.01952299971625276,2.2803862538071066e-05
qwen_30b_granite_8b,"qwen_30b,granite_8b",random_forest_router,0.8942470389170897,0.018086603070156585,2.4522748900169207e-05
qwen_30b_granite_8b,"qwen_30b,granite_8b",extra_trees_router,0.8945854483925549,0.018931489198336662,2.440387668358714e-05
llama_70b_deepseek_v3,"llama_70b,deepseek_v3",always_llama_70b,0.8950930626057529,0.020837285042776554,5.354493147208122e-05
llama_70b_deepseek_v3,"llama_70b,deepseek_v3",always_deepseek_v3,0.9071065989847715,0.020046938994475166,7.057821015228426e-05
llama_70b_deepseek_v3,"llama_70b,deepseek_v3",random,0.8981387478849407,0.02354402259004835,6.199376108291032e-05
llama_70b_deepseek_v3,"llama_70b,deepseek_v3",oracle,0.9500846023688664,0.015086763536486459,5.4382156345177665e-05
llama_70b_deepseek_v3,"llama_70b,deepseek_v3",logistic_router,0.9025380710659898,0.018345931180969936,5.699984077834179e-05
llama_70b_deepseek_v3,"llama_70b,deepseek_v3",linear_svm_router,0.9079526226734348,0.019397438788905732,5.612434247038917e-05
llama_70b_deepseek_v3,"llama_70b,deepseek_v3",knn_router,0.8925549915397631,0.021907794838810335,5.382645617597293e-05
llama_70b_deepseek_v3,"llama_70b,deepseek_v3",decision_tree_router,0.9016920473773266,0.020672464948860735,5.761108443316412e-05
llama_70b_deepseek_v3,"llama_70b,deepseek_v3",random_forest_router,0.898984771573604,0.01978820041010763,5.429277698815567e-05
llama_70b_deepseek_v3,"llama_70b,deepseek_v3",extra_trees_router,0.9020304568527919,0.02133521151802054,5.4667534010152284e-05
llama_70b_granite_8b,"llama_70b,granite_8b",always_llama_70b,0.8950930626057529,0.020837285042776554,5.354493147208122e-05
llama_70b_granite_8b,"llama_70b,granite_8b",always_granite_8b,0.8463620981387479,0.02522033466290163,1.5969788494077833e-05
llama_70b_granite_8b,"llama_70b,granite_8b",random,0.8688663282571912,0.020869241364761683,3.439050118443316e-05
llama_70b_granite_8b,"llama_70b,granite_8b",oracle,0.9431472081218274,0.016402600609891915,5.169643485617597e-05
llama_70b_granite_8b,"llama_70b,granite_8b",logistic_router,0.8866328257191202,0.020879882603507836,4.528483874788494e-05
llama_70b_granite_8b,"llama_70b,granite_8b",linear_svm_router,0.8962774957698816,0.022412993986457935,4.8266786125211505e-05
llama_70b_granite_8b,"llama_70b,granite_8b",knn_router,0.8949238578680203,0.020999401273843126,5.341059644670051e-05
llama_70b_granite_8b,"llama_70b,granite_8b",decision_tree_router,0.8898477157360406,0.019643989330252347,4.579268646362098e-05
llama_70b_granite_8b,"llama_70b,granite_8b",random_forest_router,0.8939086294416243,0.01775273904020393,4.778086260575296e-05
llama_70b_granite_8b,"llama_70b,granite_8b",extra_trees_router,0.8927241962774957,0.01888684955633171,4.836205296108291e-05
deepseek_v3_granite_8b,"deepseek_v3,granite_8b",always_deepseek_v3,0.9071065989847715,0.020046938994475166,7.057821015228426e-05
deepseek_v3_granite_8b,"deepseek_v3,granite_8b",always_granite_8b,0.8463620981387479,0.02522033466290163,1.5969788494077833e-05
deepseek_v3_granite_8b,"deepseek_v3,granite_8b",random,0.877834179357022,0.01940659788540524,4.297495025380711e-05
deepseek_v3_granite_8b,"deepseek_v3,granite_8b",oracle,0.9428087986463621,0.014900091537351659,6.848815059221659e-05
deepseek_v3_granite_8b,"deepseek_v3,granite_8b",logistic_router,0.8903553299492386,0.01925337744080205,5.7895434517766495e-05
deepseek_v3_granite_8b,"deepseek_v3,granite_8b",linear_svm_router,0.9010152284263959,0.020855044600285536,6.174316751269035e-05
deepseek_v3_granite_8b,"deepseek_v3,granite_8b",knn_router,0.9071065989847715,0.020046938994475166,7.041433536379019e-05
deepseek_v3_granite_8b,"deepseek_v3,granite_8b",decision_tree_router,0.8812182741116751,0.024201560741865476,4.4594584771573605e-05
deepseek_v3_granite_8b,"deepseek_v3,granite_8b",random_forest_router,0.9091370558375634,0.02083799571568627,6.833530118443316e-05
deepseek_v3_granite_8b,"deepseek_v3,granite_8b",extra_trees_router,0.9042301184433164,0.017721847990182418,6.647807580372251e-05
