group,models,seed,policy,n_test,n_decidable,decidable_share,router_acc_full,router_acc_decidable,decidable_lift_pp,router_disagrees_with_best_fixed_share,router_correct_when_disagrees_share
gemini_flash_llama,"gemini_flash,llama_70b",239,tfidf_mlp_router,197,20,0.10152284263959391,0.8883248730964467,0.5,-5.000000000000004,0.9949238578680203,0.8877551020408163
gemini_flash_llama,"gemini_flash,llama_70b",240,always_llama_70b,197,25,0.12690355329949238,0.934010152284264,0.56,0.0,0.0,
gemini_flash_llama,"gemini_flash,llama_70b",240,oracle,197,25,0.12690355329949238,0.9898477157360406,1.0,43.99999999999999,0.9289340101522843,
gemini_flash_llama,"gemini_flash,llama_70b",240,logistic_router,197,25,0.12690355329949238,0.9593908629441624,0.76,19.999999999999996,0.7868020304568528,0.9612903225806452
gemini_flash_llama,"gemini_flash,llama_70b",240,linear_svm_router,197,25,0.12690355329949238,0.949238578680203,0.68,12.0,0.8274111675126904,0.950920245398773
gemini_flash_llama,"gemini_flash,llama_70b",240,knn_router,197,25,0.12690355329949238,0.9187817258883249,0.44,-12.000000000000005,1.0,0.9187817258883249
gemini_flash_llama,"gemini_flash,llama_70b",240,decision_tree_router,197,25,0.12690355329949238,0.934010152284264,0.56,0.0,0.8477157360406091,0.9341317365269461
gemini_flash_llama,"gemini_flash,llama_70b",240,random_forest_router,197,25,0.12690355329949238,0.9695431472081218,0.84,27.999999999999993,0.8781725888324873,0.9653179190751445
gemini_flash_llama,"gemini_flash,llama_70b",240,extra_trees_router,197,25,0.12690355329949238,0.9746192893401016,0.88,31.999999999999996,0.7766497461928934,0.9673202614379085
gemini_flash_llama,"gemini_flash,llama_70b",240,mlp_router,197,25,0.12690355329949238,0.9289340101522843,0.52,-4.0000000000000036,0.9543147208121827,0.925531914893617
gemini_flash_llama,"gemini_flash,llama_70b",240,tfidf_logistic_router,197,25,0.12690355329949238,0.9695431472081218,0.84,27.999999999999993,0.8426395939086294,0.963855421686747
gemini_flash_llama,"gemini_flash,llama_70b",240,tfidf_linear_svm_router,197,25,0.12690355329949238,0.934010152284264,0.56,0.0,0.9289340101522843,0.9344262295081968
gemini_flash_llama,"gemini_flash,llama_70b",240,tfidf_mlp_router,197,25,0.12690355329949238,0.934010152284264,0.56,0.0,0.9847715736040609,0.9329896907216495
gemini_flash_llama,"gemini_flash,llama_70b",241,always_llama_70b,197,30,0.15228426395939088,0.868020304568528,0.5333333333333333,0.0,0.0,
gemini_flash_llama,"gemini_flash,llama_70b",241,oracle,197,30,0.15228426395939088,0.9390862944162437,1.0,46.666666666666664,0.9187817258883249,
gemini_flash_llama,"gemini_flash,llama_70b",241,logistic_router,197,30,0.15228426395939088,0.868020304568528,0.5333333333333333,0.0,0.7766497461928934,0.8888888888888888
gemini_flash_llama,"gemini_flash,llama_70b",241,linear_svm_router,197,30,0.15228426395939088,0.868020304568528,0.5333333333333333,0.0,0.8274111675126904,0.8895705521472392
