policy,accuracy,avg_cost,utility,regret,route_acc,group,models,seed
always_llama_70b,0.9035532994923858,5.3867588832487304e-05,0.9035532994923858,0.050761421319796954,0.949238578680203,llama_deepseek,"llama_70b,deepseek_v3",209
always_deepseek_v3,0.9187817258883249,7.155994923857867e-05,0.9187817258883249,0.03553299492385787,0.050761421319796954,llama_deepseek,"llama_70b,deepseek_v3",209
oracle,0.9543147208121827,5.5099553299492386e-05,0.9543147208121827,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",209
random,0.9137055837563451,6.363904060913706e-05,0.9137055837563451,0.04060913705583756,0.4365482233502538,llama_deepseek,"llama_70b,deepseek_v3",209
correctness_logistic,0.9187817258883249,6.164294923857868e-05,0.9187817258883249,0.03553299492385787,0.5532994923857868,llama_deepseek,"llama_70b,deepseek_v3",209
correctness_random_forest,0.9137055837563451,6.180737563451777e-05,0.9137055837563451,0.04060913705583756,0.5482233502538071,llama_deepseek,"llama_70b,deepseek_v3",209
correctness_extra_trees,0.9086294416243654,6.117810659898477e-05,0.9086294416243654,0.04568527918781726,0.5685279187817259,llama_deepseek,"llama_70b,deepseek_v3",209
correctness_tfidf_logistic,0.9187817258883249,6.494139086294416e-05,0.9187817258883249,0.03553299492385787,0.4517766497461929,llama_deepseek,"llama_70b,deepseek_v3",209
always_llama_70b,0.8984771573604061,5.5231918781725885e-05,0.8984771573604061,0.050761421319796954,0.949238578680203,llama_deepseek,"llama_70b,deepseek_v3",210
always_deepseek_v3,0.9187817258883249,7.110250761421321e-05,0.9187817258883249,0.030456852791878174,0.050761421319796954,llama_deepseek,"llama_70b,deepseek_v3",210
oracle,0.949238578680203,5.6496451776649744e-05,0.949238578680203,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",210
random,0.9187817258883249,6.264969543147208e-05,0.9187817258883249,0.030456852791878174,0.5279187817258884,llama_deepseek,"llama_70b,deepseek_v3",210
correctness_logistic,0.9137055837563451,6.198220812182742e-05,0.9137055837563451,0.03553299492385787,0.5786802030456852,llama_deepseek,"llama_70b,deepseek_v3",210
correctness_random_forest,0.9187817258883249,6.342447208121828e-05,0.9187817258883249,0.030456852791878174,0.5736040609137056,llama_deepseek,"llama_70b,deepseek_v3",210
correctness_extra_trees,0.9187817258883249,6.287354314720812e-05,0.9187817258883249,0.030456852791878174,0.5380710659898477,llama_deepseek,"llama_70b,deepseek_v3",210
correctness_tfidf_logistic,0.9238578680203046,6.414026903553299e-05,0.9238578680203046,0.025380710659898477,0.5329949238578681,llama_deepseek,"llama_70b,deepseek_v3",210
always_llama_70b,0.8781725888324873,5.2385548223350255e-05,0.8781725888324873,0.08629441624365482,0.9137055837563451,llama_deepseek,"llama_70b,deepseek_v3",211
always_deepseek_v3,0.9238578680203046,7.02808730964467e-05,0.9238578680203046,0.04060913705583756,0.08629441624365482,llama_deepseek,"llama_70b,deepseek_v3",211
oracle,0.9644670050761421,5.377303553299494e-05,0.9644670050761421,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",211
random,0.9086294416243654,6.150408121827412e-05,0.9086294416243654,0.05583756345177665,0.49238578680203043,llama_deepseek,"llama_70b,deepseek_v3",211
correctness_logistic,0.9086294416243654,5.803947208121827e-05,0.9086294416243654,0.05583756345177665,0.5025380710659898,llama_deepseek,"llama_70b,deepseek_v3",211
correctness_random_forest,0.9086294416243654,5.803390862944163e-05,0.9086294416243654,0.05583756345177665,0.4416243654822335,llama_deepseek,"llama_70b,deepseek_v3",211
correctness_extra_trees,0.8984771573604061,5.811580710659899e-05,0.8984771573604061,0.06598984771573604,0.48223350253807107,llama_deepseek,"llama_70b,deepseek_v3",211
correctness_tfidf_logistic,0.9035532994923858,5.903712182741117e-05,0.9035532994923858,0.06091370558375635,0.49746192893401014,llama_deepseek,"llama_70b,deepseek_v3",211
always_llama_70b,0.9137055837563451,5.619367005076142e-05,0.9137055837563451,0.06091370558375635,0.9390862944162437,llama_deepseek,"llama_70b,deepseek_v3",212
always_deepseek_v3,0.9390862944162437,6.979804060913705e-05,0.9390862944162437,0.03553299492385787,0.06091370558375635,llama_deepseek,"llama_70b,deepseek_v3",212
oracle,0.9746192893401016,5.665617766497461e-05,0.9746192893401016,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",212
random,0.9137055837563451,6.172692893401016e-05,0.9137055837563451,0.06091370558375635,0.5177664974619289,llama_deepseek,"llama_70b,deepseek_v3",212
correctness_logistic,0.9593908629441624,6.305345685279188e-05,0.9593908629441624,0.015228426395939087,0.48223350253807107,llama_deepseek,"llama_70b,deepseek_v3",212
correctness_random_forest,0.9289340101522843,6.262544162436549e-05,0.9289340101522843,0.04568527918781726,0.40609137055837563,llama_deepseek,"llama_70b,deepseek_v3",212
correctness_extra_trees,0.9543147208121827,6.0935233502538064e-05,0.9543147208121827,0.02030456852791878,0.48223350253807107,llama_deepseek,"llama_70b,deepseek_v3",212
correctness_tfidf_logistic,0.9593908629441624,6.321140101522843e-05,0.9593908629441624,0.015228426395939087,0.48223350253807107,llama_deepseek,"llama_70b,deepseek_v3",212
always_llama_70b,0.9035532994923858,5.2318335025380705e-05,0.9035532994923858,0.05583756345177665,0.9441624365482234,llama_deepseek,"llama_70b,deepseek_v3",213
always_deepseek_v3,0.9187817258883249,7.078959390862945e-05,0.9187817258883249,0.04060913705583756,0.05583756345177665,llama_deepseek,"llama_70b,deepseek_v3",213
oracle,0.9593908629441624,5.353432487309645e-05,0.9593908629441624,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",213
random,0.9137055837563451,5.960675634517767e-05,0.9137055837563451,0.04568527918781726,0.5228426395939086,llama_deepseek,"llama_70b,deepseek_v3",213
correctness_logistic,0.9238578680203046,6.290934010152285e-05,0.9238578680203046,0.03553299492385787,0.4873096446700508,llama_deepseek,"llama_70b,deepseek_v3",213
correctness_random_forest,0.934010152284264,6.054153299492386e-05,0.934010152284264,0.025380710659898477,0.5025380710659898,llama_deepseek,"llama_70b,deepseek_v3",213
correctness_extra_trees,0.934010152284264,5.918778680203046e-05,0.934010152284264,0.025380710659898477,0.5634517766497462,llama_deepseek,"llama_70b,deepseek_v3",213
correctness_tfidf_logistic,0.934010152284264,6.308394416243654e-05,0.934010152284264,0.025380710659898477,0.4517766497461929,llama_deepseek,"llama_70b,deepseek_v3",213
