policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
oracle,0.9898477157360406,1.3016868020304565e-05,0.9885460289340103,0.0,100.0,1.0
logistic_router,0.817258883248731,2.5918361421319794e-05,0.814667047106599,0.17387898182741118,100.0,0.34517766497461927
linear_svm_router,0.7563451776649747,1.7386860913705582e-05,0.7546064915736042,0.23393953736040612,100.0,0.4467005076142132
knn_router,0.6700507614213198,8.141368527918782e-06,0.669236624568528,0.3193094043654822,100.0,0.5685279187817259
decision_tree_router,0.7715736040609137,2.384614720812183e-05,0.7691889893401015,0.21935703959390862,100.0,0.41116751269035534
random_forest_router,0.766497461928934,1.3781431472081217e-05,0.765119318781726,0.22342671015228427,100.0,0.4619289340101523
extra_trees_router,0.7715736040609137,2.120551878172589e-05,0.7694530521827412,0.21909297675126907,100.0,0.3248730964467005
tfidf_logistic_router,0.7868020304568528,1.6009780710659896e-05,0.7852010523857867,0.20334497654822337,100.0,0.41116751269035534
tfidf_linear_svm_router,0.7309644670050761,1.0791880203045682e-05,0.7298852789847716,0.25866074994923854,100.0,0.467005076142132
always_gemini_flash_lite,0.9137055837563451,0.00012077157360406092,0.8533197969543148,0.1300194847715736,500.0,0.01015228426395939
always_gemini_flash,0.8781725888324873,0.00018899238578680202,0.7836763959390863,0.19966288578680205,500.0,0.0
always_mistral_nemo,0.6598984771573604,7.035177664974619e-06,0.6563808883248732,0.32695839340101523,500.0,0.5939086294416244
always_qwen_30b,0.868020304568528,2.3474460913705585e-05,0.8562830741116751,0.1270562076142132,500.0,0.14720812182741116
always_llama_70b,0.8934010152284264,5.343402538071066e-05,0.866684002538071,0.11665527918781726,500.0,0.01015228426395939
always_deepseek_v3,0.883248730964467,7.042395939086295e-05,0.8480367512690355,0.13530253045685278,500.0,0.015228426395939087
always_ring_1t,0.41116751269035534,9.881421319796955e-05,0.3617604060913705,0.6215788756345177,500.0,0.005076142131979695
always_minimax_m3,0.5736040609137056,0.00021227939086294415,0.4674643654822335,0.5158749162436548,500.0,0.0
always_granite_8b,0.8375634517766497,1.603908629441624e-05,0.8295439086294415,0.1537953730964467,500.0,0.2182741116751269
always_step_flash,0.07614213197969544,0.00020856751269035534,-0.02814162436548223,1.0114809060913705,500.0,0.0
random,0.6954314720812182,0.000109330261928934,0.6407663411167512,0.342572940609137,500.0,0.06598984771573604
oracle,0.9898477157360406,1.3016868020304565e-05,0.9833392817258884,0.0,500.0,1.0
logistic_router,0.817258883248731,2.5918361421319794e-05,0.804299702538071,0.17903957918781727,500.0,0.34517766497461927
linear_svm_router,0.7563451776649747,1.7386860913705582e-05,0.7476517472081221,0.23568753451776644,500.0,0.4467005076142132
knn_router,0.6700507614213198,8.141368527918782e-06,0.6659800771573604,0.31735920456852795,500.0,0.5685279187817259
decision_tree_router,0.7715736040609137,2.384614720812183e-05,0.7596505304568527,0.2236887512690355,500.0,0.41116751269035534
random_forest_router,0.766497461928934,1.3781431472081217e-05,0.7596067461928934,0.22373253553299494,500.0,0.4619289340101523
extra_trees_router,0.7715736040609137,2.120551878172589e-05,0.7609708446700505,0.22236843705583756,500.0,0.3248730964467005
tfidf_logistic_router,0.7868020304568528,1.6009780710659896e-05,0.7787971401015228,0.20454214162436546,500.0,0.41116751269035534
tfidf_linear_svm_router,0.7309644670050761,1.0791880203045682e-05,0.7255685269035534,0.257770754822335,500.0,0.467005076142132
always_gemini_flash_lite,0.9137055837563451,0.00012077157360406092,0.7929340101522844,0.18389683756345176,1000.0,0.01015228426395939
always_gemini_flash,0.8781725888324873,0.00018899238578680202,0.6891802030456852,0.28765064467005075,1000.0,0.0
always_mistral_nemo,0.6598984771573604,7.035177664974619e-06,0.6528632994923858,0.3239675482233503,1000.0,0.5939086294416244
always_qwen_30b,0.868020304568528,2.3474460913705585e-05,0.8445458436548224,0.1322850040609137,1000.0,0.14720812182741116
always_llama_70b,0.8934010152284264,5.343402538071066e-05,0.8399669898477157,0.13686385786802033,1000.0,0.01015228426395939
always_deepseek_v3,0.883248730964467,7.042395939086295e-05,0.8128247715736041,0.16400607614213197,1000.0,0.015228426395939087
always_ring_1t,0.41116751269035534,9.881421319796955e-05,0.31235329949238577,0.6644775482233503,1000.0,0.005076142131979695
